1259826273556107380> : -9994云
960172159060279377> : 48云
960172159060279377> : 48云
959457198302433280> : 5云
959457198302433280> : 5云
312483399300546562> : 55云
1280093631037964321> : 431云
312483399300546562> : 55云
1280093631037964321> : 431云
1016794326115823708> : 94云
1276496071845216287> : 72云
1016794326115823708> : 94云
916632998017912862> : 520云
1276496071845216287> : 72云
1237316344639127612> : 247云
916632998017912862> : 520云
1237316344639127612> : 247云
1092658986479800320> : 386云
1076492550510227466> : 275云
1092658986479800320> : 386云
325270734685339653> : 235云
1076492550510227466> : 275云
413912697223249920> : 100云
325270734685339653> : 235云
1095493007618355340> : 100云
413912697223249920> : 100云
1220144452979392542> : 100云
1095493007618355340> : 100云
1220144452979392542> : 100云
1034407081995944007> : 26云
1034407081995944007> : 26云
1007547083009577010> : 355云
1068885139129643090> : 100云
1007547083009577010> : 355云
1114108199755333737> : 100云
1068885139129643090> : 100云
1160457698077319311> : 100云
1114108199755333737> : 100云
1070835818895257671> : 100云
1160457698077319311> : 100云
261669483783913472> : 100云
1070835818895257671> : 100云
261669483783913472> : 100云
809132326096207893> : 125云
1145283927448240128> : 100云
809132326096207893> : 125云
1145283927448240128> : 100云
774502494981586944> : 740云
937195033994612776> : 260云
774502494981586944> : 740云
937195033994612776> : 260云
877591625407270912> : 900云
951021694259183676> : 170云
877591625407270912> : 900云
433174193195057152> : 100云
951021694259183676> : 170云
433174193195057152> : 100云
447011696448372737> : 245云
1141324888343334982> : 144云
447011696448372737> : 245云
867384405176877077> : 100云
1141324888343334982> : 144云
777158940265152533> : 100云
867384405176877077> : 100云
777158940265152533> : 100云
1124932101897203824> : 254云
541274763822235659> : 100云
1124932101897203824> : 254云
541274763822235659> : 100云
486846024904605698> : 445云
288315318063988736> : 103云
486846024904605698> : 445云
843352646881378305> : 101云
288315318063988736> : 103云
588096259940810765> : 100云
843352646881378305> : 101云
588096259940810765> : 100云
1066693995843026994> : 298云
840533710432632842> : 100云
1066693995843026994> : 298云
1153680373293781073> : 100云
840533710432632842> : 100云
953222782689357845> : 100云
1153680373293781073> : 100云
1069966917021999214> : 100云
953222782689357845> : 100云
1069966917021999214> : 100云
1105819734630486106> : 104云
1105819734630486106> : 104云
1124827242858553405> : 219云
500346352237281286> : 100云
1124827242858553405> : 219云
998637466280001667> : 100云
500346352237281286> : 100云
877230479923888178> : 100云
998637466280001667> : 100云
810073175454122004> : 100云
877230479923888178> : 100云
810073175454122004> : 100云
1085409048855318659> : 423云
1085409048855318659> : 423云
877864957939679242> : 742云
1101062677461205084> : 102云
877864957939679242> : 742云
971523089550671953> : 100云
1101062677461205084> : 102云
971523089550671953> : 100云
1333406768843325442> : 6云
1339383514520485959> : 100云
1333406768843325442> : 6云
1339383514520485959> : 100云
1321992656762568808> : 222云
1034407081995944007> : 100云
1321992656762568808> : 222云
undefined
1034407081995944007> : 100云
undefined
undefined
undefined
undefined
